utt_id,wav,emotion,raw_emotion,speaker,session,start,end,dur,valence,arousal,dominance,transcript
Ses01F_impro01_F000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,neutral,neu,Ses01F,1,6.2901,8.2357,1.946,2.5,2.5,2.5,Excuse me.
Ses01F_impro01_F001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,neutral,neu,Ses01F,1,10.01,11.3925,1.383,2.5,2.5,2.5,Yeah.
Ses01F_impro01_F002,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,neutral,neu,Ses01F,1,14.8872,18.0175,3.13,2.5,2.5,2.5,Is there a problem?
Ses01F_impro01_F005,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,neutral,neu,Ses01F,1,27.46,31.49,4.03,2.5,3.5,2.0,Well what's the problem?  Let me change it.
Ses01F_impro01_F012,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,angry,ang,Ses01F,1,85.27,88.02,2.75,2.0,3.5,3.5,That's out of control.
Ses01F_impro01_F014,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,neutral,neu,Ses01F,1,97.89,102.96,5.07,2.5,3.5,3.5,"Clearly.  You know, do you have like a supervisor or something?"
Ses01F_impro01_M011,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,angry,ang,Ses01M,1,87.15,94.39,7.24,2.0,4.0,4.0,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
Ses01F_impro01_M013,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,angry,ang,Ses01M,1,101.84,107.87,6.03,2.0,4.5,4.5,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
Ses01F_impro02_F000,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,sad,sad,Ses01F,1,7.2688,16.6,9.331,2.5,2.0,1.5,Did you get the mail? So you saw my letter?
Ses01F_impro02_F001,/Users/abish/Downloads/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,sad,sad,Ses01F,1,19.85,22.78,2.93,2.0,1.5,1.5,Yeah.  I know.
